iter	RMSE
0	0.9416596051
1	0.9327290926
2	0.9240068251
3	0.9151340602
4	0.9063907581
5	0.8976380016
6	0.8891025344
7	0.8809882988
8	0.8727089139
9	0.8645826597
10	0.856492552
11	0.8483943569
12	0.8402660733
13	0.8321728367
14	0.8240963982
15	0.8162292689
16	0.8087673299
17	0.8011223155
18	0.793423855
19	0.7859050896
20	0.7786437085
21	0.7712414676
22	0.763900098
23	0.7565304457
24	0.7492076051
25	0.7422280105
26	0.735066817
27	0.7280567267
28	0.7210913545
29	0.7143330282
30	0.7074330519
31	0.700644901
32	0.6939360858
33	0.6873925305
34	0.680871167
35	0.6744490387
36	0.6682618651
37	0.6618943924
38	0.6555140848
39	0.6493166736
40	0.6430815866
41	0.6369029042
42	0.6308533517
43	0.6249317051
44	0.6189838786
45	0.6131248231
46	0.6073162537
47	0.6016555226
48	0.5960840282
49	0.5904831792
50	0.5849157459
51	0.5793987778
52	0.5739700512
53	0.5685432048
54	0.5630950868
55	0.5578579047
56	0.5524984533
57	0.5473984071
58	0.5422275767
59	0.5370219768
60	0.531880905
61	0.5269304048
62	0.5220651216
63	0.5171120412
64	0.5121081304
65	0.5074104199
66	0.5025596166
67	0.4978029011
68	0.4930762116
69	0.488370729
70	0.4837215801
71	0.4790724219
72	0.4746579301
73	0.4702266498
74	0.4658024653
75	0.4614399789
76	0.4571167452
77	0.4527468738
78	0.4484499387
79	0.4442088874
80	0.4401713113
81	0.4360588553
82	0.4321269079
83	0.427964949
84	0.4239952633
85	0.4200339019
86	0.4160739428
87	0.4121706301
88	0.4083382842
89	0.4045051686
90	0.4007030223
91	0.396858379
92	0.3930894917
93	0.3894885273
94	0.3858293812
95	0.3823503494
96	0.3786720218
97	0.3751001631
98	0.3715582297
99	0.368057888
100	0.3647040202
101	0.3613137115
102	0.3579168217
103	0.3546395057
104	0.3512753265
105	0.348039944
106	0.3446756006
107	0.3415189291
108	0.3383304635
109	0.335116317
110	0.3319954019
111	0.3289149589
112	0.3258247644
113	0.3228004766
114	0.3198068425
115	0.3168438475
116	0.3138974551
117	0.3109578346
118	0.3080708772
119	0.3052826479
120	0.3023649093
121	0.2995081349
122	0.2966863479
123	0.2939119925
124	0.2911332833
125	0.2884126233
126	0.2857008395
127	0.2829953675
128	0.2803348069
129	0.2777042824
130	0.2751482932
131	0.2726695845
132	0.2701585907
133	0.2676834068
134	0.2651978798
135	0.2627721811
136	0.2603554252
137	0.2579355763
138	0.2555632069
139	0.2531760597
140	0.2507830834
141	0.2484357323
142	0.2461651795
143	0.2439064891
144	0.2415857019
145	0.2393146965
146	0.2370833361
147	0.2348771859
148	0.2327136371
149	0.230604475
150	0.2284558096
151	0.2262929175
152	0.2241865314
153	0.2220782367
154	0.2199981466
155	0.2180219044
156	0.216032368
157	0.2140240507
158	0.2120087376
159	0.2100454653
160	0.2080721963
161	0.2061123603
162	0.2043026812
163	0.2024335442
