iter	Passed	Remaining
0	6	6791
1	9	4785
2	17	5799
3	22	5660
4	29	5831
5	34	5654
6	40	5714
7	45	5677
8	51	5616
9	56	5570
10	61	5509
11	66	5504
12	72	5478
13	78	5541
14	85	5622
15	91	5629
16	96	5607
17	102	5567
18	107	5545
19	112	5516
20	118	5512
21	123	5475
22	128	5451
23	133	5446
24	139	5424
25	144	5406
26	149	5384
27	154	5360
28	159	5324
29	163	5294
30	168	5272
31	173	5251
32	178	5224
33	183	5203
34	187	5168
35	192	5145
36	196	5123
37	201	5095
38	205	5071
39	210	5048
40	214	5026
41	219	5002
42	224	4987
43	228	4961
44	232	4942
45	237	4920
46	241	4903
47	246	4880
48	250	4866
49	255	4852
50	259	4833
51	264	4820
52	268	4802
53	273	4789
54	277	4774
55	282	4758
56	286	4747
57	291	4737
58	296	4727
59	301	4715
60	305	4701
61	309	4689
62	314	4680
63	319	4665
64	323	4653
65	327	4641
66	332	4629
67	337	4619
68	342	4617
69	347	4622
70	353	4626
71	360	4640
72	365	4635
73	370	4634
74	375	4625
75	379	4615
76	384	4611
77	390	4620
78	395	4613
79	400	4606
80	406	4611
81	412	4614
82	418	4620
83	423	4618
84	428	4616
85	434	4613
86	439	4608
87	444	4602
88	448	4593
89	454	4591
90	459	4586
91	464	4584
92	469	4579
93	474	4572
94	478	4561
95	483	4556
96	488	4551
97	494	4549
98	499	4543
99	504	4536
100	508	4529
101	513	4519
102	518	4514
103	523	4510
104	528	4503
105	534	4507
106	539	4501
107	545	4504
108	550	4504
109	555	4496
110	560	4489
111	565	4486
112	570	4481
113	575	4476
114	581	4471
115	586	4466
116	590	4456
117	595	4449
118	600	4445
119	605	4441
120	610	4434
121	615	4430
122	619	4420
123	625	4417
124	630	4416
125	636	4414
126	641	4410
127	646	4404
128	651	4398
129	655	4389
130	660	4383
131	666	4379
132	671	4377
133	673	4351
134	678	4346
135	683	4342
136	688	4339
137	693	4334
138	698	4329
139	703	4322
140	708	4314
141	713	4312
142	718	4307
143	723	4302
144	728	4296
145	733	4289
146	738	4282
147	743	4279
148	748	4274
149	753	4272
150	758	4267
151	764	4265
152	769	4262
153	775	4257
154	779	4250
155	784	4245
156	789	4240
157	794	4235
158	799	4229
159	804	4222
160	808	4215
161	814	4211
162	819	4206
163	824	4201
164	829	4197
165	834	4190
166	838	4183
167	843	4178
168	848	4173
169	853	4167
170	859	4165
171	864	4160
172	868	4153
173	873	4148
174	879	4144
175	884	4141
176	890	4138
177	895	4135
178	901	4133
179	906	4128
180	910	4120
181	915	4115
182	920	4111
183	926	4107
184	931	4103
185	936	4097
186	941	4091
187	945	4084
188	950	4080
189	956	4076
190	961	4072
191	966	4068
192	971	4062
193	976	4055
194	980	4049
195	985	4044
196	991	4042
197	996	4037
198	1001	4033
199	1007	4029
200	1011	4022
201	1016	4015
202	1021	4011
203	1026	4006
204	1031	4000
205	1036	3994
206	1040	3987
207	1046	3983
208	1051	3979
209	1056	3975
210	1061	3970
211	1066	3964
212	1071	3957
213	1075	3950
214	1081	3947
215	1086	3942
216	1091	3937
217	1096	3932
218	1100	3925
219	1105	3918
220	1110	3915
221	1115	3910
222	1120	3905
223	1126	3900
224	1131	3895
225	1135	3888
226	1140	3883
227	1145	3879
228	1150	3874
229	1156	3870
230	1161	3865
231	1165	3859
232	1171	3855
233	1175	3849
234	1181	3845
235	1186	3840
236	1191	3836
237	1196	3830
238	1200	3823
239	1205	3818
240	1211	3815
241	1217	3811
242	1222	3808
243	1227	3803
244	1232	3799
245	1237	3793
246	1242	3786
247	1247	3781
248	1252	3776
249	1257	3771
250	1261	3765
251	1266	3760
252	1271	3754
253	1276	3750
254	1282	3747
255	1287	3742
256	1292	3737
257	1297	3732
258	1301	3724
259	1304	3713
260	1309	3708
261	1314	3703
262	1319	3697
263	1324	3692
264	1329	3688
265	1335	3684
266	1340	3679
267	1345	3674
268	1350	3669
